Population,Line,Pot,Photoperiod,Germination Date,Date First Flower,Days to flowering,Node Leaf coll.,Plant Height (mm),Corolla Length (mm),Corolla Width (mm),Longest Stamen Length (mm),Smallest Stamen Length (mm),Pistil Length (mm),Cleistogamy?,Stigma-anther separation,Anther-anther separation,Leaf lobing index,Notes
BCL,1,A,15h,284,305,21,2,87,17.41,13.08,10.6,9.61,11.73,N,1.13,0.99,0.1959374163,
BCL,1,B,15h,284,305,21,2,66,12.21,7.39,8.18,7.1,8.09,N,-0.09,1.08,0.1304297374,
BCL,1,C,15h,284,307,23,2,78,13.94,9.28,9.11,7.75,9.69,N,0.58,1.36,0.148,
BCL,2,A,15h,284,307,23,2,38,12.28,5.73,8.7,8.01,,N,,0.69,0.169,
BCL,2,B,15h,284,306,22,2,67,12,8.52,9.03,8.32,10.31,N,1.28,0.71,0.3271298744,
BCL,2,C,15h,284,307,23,2,69,12.37,6.11,8.09,7,8.93,N,0.84,1.09,0.310,
BCL,3,A,15h,284,307,23,2,56,12.31,8.04,9.06,6.82,8.55,N,-0.51,2.24,0.266,
BCL,3,B,15h,285,304,19,2,48,10.11,6.37,8.07,6.19,8.06,N,-0.01,1.88,0.248,
BCL,3,C,15h,285,305,20,2,62,11.05,6.89,8.45,7.27,9.48,N,1.03,1.18,0.2526065725,
BCL,4,A,15h,284,307,23,2,37,13.22,7.77,8.38,7.32,9.82,N,1.44,1.06,0.232,
BCL,4,B,15h,285,306,21,2,36,10.79,6.76,8.61,7.56,9.58,N,0.97,1.05,0.2480989016,
BCL,4,C,15h,285,312,27,2,81,10.72,5.15,8.67,7.49,8.95,N,0.28,1.18,0.2286235052,
BCL,9,A,15h,284,303,19,2,77,12.05,9.88,9.35,6.67,9.26,N,-0.09,2.68,0.2796181544,
BCL,9,B,15h,284,303,19,2,67,11.36,6.8,10.53,7.84,,N,,2.69,0.2675618187,
BCL,9,C,15h,284,303,19,3,57,9.67,4.2,9.51,6.37,,N,,3.14,,
BCL,15,A,15h,284,309,25,3,40,9.5,4.83,7.23,6.3,8.19,N,0.96,0.93,0.3733712745,
BCL,15,B,15h,285,309,24,1,56,11.28,6.44,7.66,6.9,8.64,N,0.98,0.76,0.2201953952,
BCL,15,C,15h,285,307,22,2,32,9.42,5.76,6.74,6,8.17,N,1.43,0.74,0.297,
BML,4,A,15h,284,304,20,2,50,15.25,9.39,8.35,6.99,9.66,N,1.31,1.36,0.205,
BML,4,B,15h,284,303,19,2,72,14.83,10.92,11.04,7.92,10.76,N,-0.28,3.12,0.1437625436,
BML,4,C,15h,284,303,19,3,57,10.22,4.89,8.41,6.45,8.33,Y,-0.08,1.96,0.1342460357,
BML,5,A,15h,285,305,20,2,37,15.45,12.2,10.44,9.96,11.77,N,1.33,0.48,0.3611257079,
BML,5,B,15h,284,303,19,2,51,11.53,6.37,9.3,7.81,8.62,Y,-0.68,1.49,0.2890474268,
BML,5,C,15h,284,304,20,2,9,12.7,9,7.84,7.24,9.21,N,1.37,0.6,0.217,
BML,6,A,15h,284,305,21,2,60,13.83,7.74,10.7,9.58,10.9,N,0.2,1.12,0.1950960901,
BML,6,B,15h,284,305,21,2,65,12.65,8.25,10.64,9.38,10.06,N,-0.58,1.26,0.1894592979,
BML,6,C,15h,284,305,21,2,52,12.37,7.21,9.71,8.64,,N,,1.07,0.1750023907,
